# Spells Reference
# Format: ID | Name | Identifier | Path | Level | Mark
# Usage: /givespell <ID>


## Peasant
ID       Name                                 Level    Mark   Identifier
4716     Fighter of Ming-Ken                  0        0      mingken_fighter_poet
4717     Fighter of Ohaeng                    0        0      ohaeng_fighter_poet
4718     Warrior of Kwi-Sin                   0        0      kwisin_warrior_poet
4719     Ming-Ken Warrior                     0        0      mingken_warrior_poet
4720     Warrior of Ohaeng                    0        0      ohaeng_warrior_poet
4721     Kwi-Sin Champion                     0        1      kwisin_champion_poet
4722     Ming-Ken Champion                    0        1      mingken_champion_poet
4723     Ohaeng Champion                      0        1      ohaeng_champion_poet
4724     Avatar of Kwi-Sin                    0        2      kwisin_avatar_poet
4725     Ming-Ken Avatar                      0        2      mingken_avatar_poet
4726     Avatar of Ohaeng                     0        2      ohaeng_avatar_poet
4727     Wind dancer                          0        1      cotw_wind_dancer_poet
4728     Wind warrior                         0        2      cotw_wind_warrior_poet
4729     Magi's Bane                          0        0      magis_bane_poet
4009     Recover                              9        0      recover_poet

## Dreamweaver
ID       Name                                 Level    Mark   Identifier
---------------------------------------------------------------------------
12                                            0        0      
100      ==COMMONSPELLS==                     0        0      ==COMMONSPELLS==
414                                           0        0      
415                                           0        0      
416                                           0        0      
417                                           0        0      
418                                           0        0      
419                                           0        0      
420                                           0        0      
500      ===TRAPS===                          0        0      ===TRAPS===
1000     ==WARRIORSPELLS==                    0        0      ==WARRIORSPELLS==
2000     ==ROGUESPELLS==                      0        0      ==ROGUESPELLS==
2006     Kwi-Sin Cloak                        0        0      kwisin_cloak_rogue
2007     Ming-Ken Cloak                       0        0      mingken_cloak_rogue
2008     Ohaeng Cloak                         0        0      ohaeng_cloak_rogue
2034     Kwi-Sin Disguise                     0        0      kwisin_disguise_rogue
2035     Ming-Ken Disguise                    0        0      mingken_disguise_rogue
2036     Ohaeng Disguise                      0        0      ohaeng_disguise_rogue
2058     Kwi-Sin Chameleon                    0        0      kwisin_chameleon_rogue
2059     Ming-Ken Chameleon                   0        0      mingken_chameleon_rogue
2060     Ohaeng Chameleon                     0        0      ohaeng_chameleon_rogue
2124     Dagger Uniform                       0        0      dagger_uniform
2700     ==ROGUE TRAPS==                      0        0      ==ROGUE TRAPS==
2714                                          0        0      
3000     ==MAGESPELLS==                       0        0      ==MAGESPELLS==
3097     Kwi-Sin Chameleon                    0        0      kwisin_chameleon_mage
3098     Ming-Ken Chameleon                   0        0      mingken_chameleon_mage
3099     Ohaeng Chameleon                     0        0      ohaeng_chameleon_mage
4000     ==POETSPELLS==                       0        0      ==POETSPELLS==
10000    ===GM SPELLS                         0        0      ===GM SPELLS===
10001    Map Editor                           0        0      map_editor
10002    Add script                           0        0      add_script
10003    Delete espawn                        0        0      delete_spawn
10004    Instance Ambush                      0        0      instance_ambush
10500    Ninja disguise                       0        0      ninja_disguise
10501    Ninja swap                           0        0      ninja_swap
10502    Dnd                                  0        0      dnd
11503    Blade crawl                          0        0      blade_crawl
11995    Spawn Tool                           0        0      spawn_tool
11996    Random Spawn Scrolls                 0        0      random_spawn_scrolls
11997    kill mobs                            0        0      killmobs
11998    Mass resurrect                       0        0      mass_res
11999    GM Sage                              0        0      gm_sage
12000    ===Editor Spells===                  0        0      ==Editor Spells===
12001    editor exit                          0        0      editor_exit
12002    tile next                            0        0      tile_next
12003    tile prev                            0        0      tile_prev
12004    toggle pass                          0        0      toggle_pass
12005    obj next                             0        0      obj_next
12006    obj prev                             0        0      obj_prev
12007    tile copy                            0        0      tile_copy
12008    tile paste                           0        0      tile_paste
12009    obj copy                             0        0      obj_copy
12010    obj paste                            0        0      obj_paste
12011    tile check                           0        0      tile_check
12012    tile find                            0        0      tile_find
12013    obj check                            0        0      obj_check
12014    obj find                             0        0      obj_find
12017    Super Saiyan                         0        1      super_saiyan
12022    Inspect Mob                          0        0      inspect_mob_gm
12027                                         0        0      
29500    ===DOG SPELLS===                     0        0      ===DOG SPELLS===
30000    ===SUBPATH SPELLS===                 0        0      ===SUBPATH SPELLS===
30222                                         0        0      
30223                                         0        0      
30224                                         0        0      
30225                                         0        0      
30410                                         0        0      
30608                                         0        0      
30609                                         0        0      
30610                                         0        0      
30708                                         0        0      
30709                                         0        0      
30710                                         0        0      
30812                                         0        0      
30813                                         0        0      
30814                                         0        0      
30815                                         0        0      
31117                                         0        0      
31204                                         0        0      
31205                                         0        0      
31206                                         0        0      
31207                                         0        0      
31208                                         0        0      
31209                                         0        0      
31210    Shaman's torment                     0        0      shamans_torment
50000    ===NPC SPELLS===                     0        0      ===NPC SPELLS==

## Chung ryong
ID       Name                                 Level    Mark   Identifier
---------------------------------------------------------------------------
30100    ====Chung Ryong===                   0        0      ====Chung Ryong====
30101    Chung ryong's rage                   0        0      chung_ryongs_rage

## Baekho
ID       Name                                 Level    Mark   Identifier
---------------------------------------------------------------------------
30500    ====Baekho====                       0        0      ====Baekho======
30501    Baekho's cunning                     0        0      baekhos_cunning

## Ju jak
ID       Name                                 Level    Mark   Identifier
---------------------------------------------------------------------------
30900    ====Ju Jak====                       0        0      ====Ju Jak=====
30901    Ju jak evocation                     0        0      ju_jak_evocation

## Hyun moo
ID       Name                                 Level    Mark   Identifier
---------------------------------------------------------------------------
31300    ====Hyun Moo====                     0        0      ====Hyun Moo====
31301    Hyun moo revival                     0        0      hyun_moo_revival

## Barbarian
ID       Name                                 Level    Mark   Identifier
---------------------------------------------------------------------------
30200    ====Barbarian====                    0        0      ====Barbarian=======
30201    Sonhi rage                           0        0      sonhi_rage
30202    Dash                                 0        0      dash_barbarian
30203    Barbarian cry                        0        0      barbarian_cry
30204    Mount                                0        0      mount
30205    Wilderness guise                     0        0      wilderness_guise
30206    Push                                 0        0      push
30207    Envigorate                           0        0      envigorate
30208    Insult                               0        0      insult
30209    Rend                                 0        0      rend
30210    Break jaw                            0        0      break_jaw
30211    Tiger's might                        0        0      tigers_might
30212    Barbarian rage                       0        0      barbarian_rage
30213    Wilderness weapon                    0        1      wilderness_weapon
30214    Nomadic blade                        0        2      nomadic_blade
30215    Dishonor                             0        0      dishonor
30216    Survival challenge                   0        0      survival_challenge

## Merchant
ID       Name                                 Level    Mark   Identifier
---------------------------------------------------------------------------
30600    ====Merchant===                      0        0      ====Merchant====
30601    Skill up                             0        0      skill_up_merchant
30602    Engrave                              0        0      engrave
30603    Marketer guise                       0        0      marketer_guise
30604    Pilfer                               0        0      pilfer
30605    BekyunArrow                          0        0      bekyunarrow
30606    Gambling                             0        0      gambling
30607    Golden fist                          0        0      golden_fist

## Diviner
ID       Name                                 Level    Mark   Identifier
---------------------------------------------------------------------------
31000    ====Diviner===                       0        0      ====Diviner===
31001    Read karma                           0        0      read_karma_diviner
31002    Hear footstep                        0        0      hear_footstep_diviner
31003    Darken fate                          0        0      darken_fate
31004    Divine time                          0        0      divine_time
31005    Vanish                               0        0      vanish
31006    Seal fate                            0        0      seal_fate
31007    Voids vengeance                      0        0      voids_vengeance
31008    Augury                               0        0      augury
31009    Reveal fortune                       0        0      reveal_fortune
31010    Witness of ritual                    0        0      witness_of_ritual
31011    Reveal alignment                     0        0      reveal_alignment

## Druid
ID       Name                                 Level    Mark   Identifier
---------------------------------------------------------------------------
31400    ====Druid=====                       0        0      ====Druid=====
31401    Control flames                       0        0      control_flames
31402    Druid's rodent                       0        0      druids_rodent
31403    Steed                                0        0      steed
31404    Lightning storm                      0        0      lightning_storm
31405    Sea breeze                           0        0      sea_breeze
31406    Nature's bloom                       0        0      natures_bloom
31407    Earth strike                         0        0      earth_strike
31408    Energy bloom                         0        1      energy_bloom
31409    Nature's smite                       0        2      natures_smite
31410    Efflorescence                        0        0      efflorescence

## Chongun
ID       Name                                 Level    Mark   Identifier
---------------------------------------------------------------------------
30300    ====Chongun===                       0        0      ====Chongun======
30301    Evaluate opponent                    99       0      evaluate_opponent
30302    Inspire valor                        99       0      inspire_valor
30303    Art of war                           99       0      art_of_war
30304    Invincibility                        99       0      invincibility
30305    Protectors fury                      99       0      protectors_fury
30306    Harden weapon                        99       1      harden_weapon
30307    Charge weapon                        99       2      charge_weapon
30308    Enhanced drink                       99       0      enhanced_drink
30309    Chongun uniform                      99       0      chongun_uniform
30310    Employ troop                         99       0      employ_troop
30311    Recognize honorable act              99       0      recognize_honorable_act
30312    Sharpen weapon                       99       0      sharpen_weapon
30313    Title of nobility                    99       0      title_of_nobility
30314    Spirit of war                        99       0      spirit_of_war

## Ranger
ID       Name                                 Level    Mark   Identifier
---------------------------------------------------------------------------
30700    ====Ranger====                       0        0      ====Ranger=====
30701    Skill up                             0        0      skill_up_ranger
30702    Forest cover                         0        0      forest_cover
30703    Tree bark                            0        0      tree_bark
30704    Pit trap                             0        0      set_pit_trap
30705    Carve arrow                          0        0      carve_arrow
30706    Call companion                       0        0      call_companion
30707    Scouting trip                        0        0      scouting_trip

## Geomancer
ID       Name                                 Level    Mark   Identifier
---------------------------------------------------------------------------
31100    ====Geomancer===                     0        0      ====Geomancer===
31101    Reveal fate                          0        0      reveal_fate
31102    Exhume                               0        0      exhume
31103    Read karma                           0        0      read_karma_geomancer
31104    GreenPotion                          0        0      create_green_potion
31105    Elemental mastery                    0        0      elemental_mastery
31106    Honor of the Three Sects             0        0      honor_of_the_three_sects
31107    Balance recognition                  0        0      balance_recognition
31108    Inner sect recognition               0        0      inner_sect_recognition
31109    Neutrality recognition               0        0      neutrality_recognition
31110    Elementalist's mark                  0        0      elementalists_mark
31111    Goodearth                            0        0      good_earth
31112    Hailstorm                            0        0      hailstorm
31113    Soften skin                          0        0      soften_skin
31114    Earths Spite                         0        1      earths_spite
31115    Ice bombardment                      0        0      ice_bombardment
31116    Stone Casing                         0        0      stone_casing

## Monk
ID       Name                                 Level    Mark   Identifier
---------------------------------------------------------------------------
31500    ====Monk=====                        0        0      ====Monk========
31501    Read karma                           0        0      read_karma_monk
31502    Forgive                              0        0      forgive
31503    Second life                          0        0      second_life
31504    Bless food                           0        0      bless_food
31505    Bless drink                          0        0      bless_drink
31506    Awe                                  0        0      awe
31507    Son-Kal                              0        0      son_kal
31508    Faiths call                          0        0      faiths_call
31509    Mass resurrect                       0        0      mass_resurrect

## Do
ID       Name                                 Level    Mark   Identifier
---------------------------------------------------------------------------
30400    ====Do======                         0        0      ====Do==========
30401    Dash                                 0        0      dash_do
30402    Spirit blade                         0        0      spirit_blade
30403    Blend                                0        0      blend
30404    Hear footstep                        0        0      hear_footstep_do
30405    Assess opponent                      0        0      assess_opponent_do
30406    Balance weapon                       0        1      balance_weapon
30407    Master weapon                        0        2      master_weapon
30408    Ki strike                            0        0      ki_strike
30409    Crossing swords                      0        0      crossing_swords

## Spy
ID       Name                                 Level    Mark   Identifier
---------------------------------------------------------------------------
30800    ====Spy======                        0        0      ====Spy======
30801    Skill up                             0        0      skill_up_spy
30802    Incognito                            0        0      incognito
30803    Hear footstep                        0        0      hear_footstep_spy
30804    Spy kit                              0        0      spy_kit
30805    Mimic                                0        0      mimic_spy
30806    Assassinate                          0        0      assassinate
30807    Apply stealth                        0        0      apply_stealth
30808    Assess opponent                      0        0      assess_opponent_spy
30809    Dagger to throat                     0        0      dagger_to_throat
30810    Apply stealth                        0        0      apply_stealth
30811                                         0        0      

## Shaman
ID       Name                                 Level    Mark   Identifier
---------------------------------------------------------------------------
31200    ====Shaman====                       0        0      ====Shaman====
31201    Shaman's solace                      0        1      shamans_solace
31202    Phoenix flames                       0        0      phoenix_flames
31203    Reincarnate                          0        0      reincarnate

## Muse
ID       Name                                 Level    Mark   Identifier
---------------------------------------------------------------------------
31600    ====Muse=====                        0        0      ====Muse========
31601    Song of the Goddess                  0        0      song_of_the_goddess
31602    Sacred verse                         0        1      sacred_verse
31603    Tranquil symphony                    0        2      tranquil_symphony
31604    Costume                              0        0      costume
31605    WarMusic                             0        0      warmusic

## Path 99
ID       Name                                 Level    Mark   Identifier
---------------------------------------------------------------------------
1        ping                                 0        0      ping
2        Wisdom star                          0        0      wisdom_star
3        Duel request                         0        0      duel_request
4        refresh                              0        0      refresh_spell
5        Kawlana's guard                      0        0      kawlanas_guard
6        Received fortune                     0        0      received_fortune
7        PVP Balance                          0        0      pvp_balance
8        Death save                           0        0      death_save
9        Crafting bonus                       0        0      crafting_bonus
10       Respawning in                        0        0      beach_war_respawn
11       love ring delay                      0        0      love_ring_delay
107      Tutor warp                           0        0      tutor_warp
108      Fireworks                            0        0      fireworks
109      Spin                                 0        0      spin
110      Snake                                0        0      snake_spell
401      Share Wisdom                         0        0      share_wisdom
402      Mentor's Wisdom                      0        0      mentors_wisdom
403      Apprentice's Wisdom                  0        0      apprentices_wisdom
404      Adept's Wisdom                       0        0      adepts_wisdom
405      Sage's Wisdom                        0        0      sages_wisdom
406      Horse spawn                          0        0      horse_spawn
407      Spot traps                           0        0      spot_traps
409      Propose                              0        0      propose
410      Blood oath                           0        0      blood_oath
411      Dragon's form                        0        0      dragons_form
412      Curse protection                     0        0      curse_protection
413      Enthrall                             0        0      enthrall_charm
501      Snare Trap                           0        0      snare_trap
502      Poison Dart Trap                     0        0      poison_dart_trap
503      Sleep Trap                           0        0      sleep_trap
1058     Slash                                0        0      slash_warrior
1063     Feral Berserk                        0        0      feral_berserk_warrior
2116     Dagger's Remedy                      0        2      daggers_remedy_rogue
2117     Kwi-Sin Dagger's Remedy              0        2      kwisin_daggers_remedy_rogue
2118     Mingken Dagger's Remedy              0        2      mingken_daggers_remedy_rogue
2119     Ohaeng Dagger's Remedy               0        2      ohaeng_daggers_remedy_rogue
3167     Magi's Bane                          0        0      magis_bane
4137     Restore                              0        0      restore_poet
4700     Call of the Wild                     0        0      cotw_controller_poet
10504    Loki's Favor                         0        0      lokis_favor
11993    GM Dispell                           0        0      gm_dispell
11994    GM Res                               0        0      gm_res
12015    editor save                          0        0      editor_save
12016    toggle highlight pass                0        0      toggle_highlight_pass
12018    Healing totem                        0        0      healing_totem
12019    Summon healing totem                 0        0      summon_healing_totem
12020    Healing totem aura                   0        0      healing_totem_aura
12021    Furious Charge                       0        0      furious_charge
12023    Creative                             0        0      creative
12024    Follow                               0        0      follow
12025    Wind walk                            0        0      wind_walk
12026    GM Push                              0        0      gm_push
29501    Fissure                              0        0      fissure
29502    Lava surge                           0        0      lava_surge
29503    Serpent's Fury                       0        0      serpents_fury
29504    Greater blessing                     0        0      greater_blessing
29505    Spirit Fury                          0        0      spirit_fury
29506    Fascinate                            0        0      fascinate
29507    Survive                              0        0      survive
30217    Wolf guise                           0        0      wolf_guise
30218    Rabbit guise                         0        0      rabbit_guise
30219    Deer guise                           0        0      deer_guise
30220    Sheep guise                          0        0      sheep_guise
30221    Thirsty ogre guise                   0        0      thirsty_ogre_guise
30315    Protector's Bulwark                  0        0      protectors_bulwark
50001    Sanctuary                            0        0      sanctuary
50002    Blind                                0        0      blind
50003    Snare                                0        0      snare
50004    Venom                                0        0      venom
50005    Rebirth                              0        0      rebirth
50006    Stormstrike                          0        0      stormstrike
50007    Peck                                 0        0      peck
50008    Ambush                               0        0      ambush
50009    Resurrect                            0        0      resurrect
50010    Mass resurrect                       0        0      mass_resurrect
50011    Scourge                              0        0      scourge
50012    Thunder touch                        0        0      thunder_touch
50013    Last stand                           0        0      last_stand
50014    Call lightning                       0        0      call_lightning
50015    Ion                                  0        0      ion
50016    Vex                                  0        0      vex
50017    Battle Preparation                   0        0      battle_preparation
50018    Paralyze                             0        0      paralyze
50019    Harden body                          0        0      harden_body
50020    Purge                                0        0      purge
50021    Chill                                0        0      chill
50022    Taint                                0        0      taint
50023    Curse                                0        0      curse
50024    Corrupt                              0        0      corrupt
50025    Kamikaze                             0        0      kamikaze
50026    Mind control                         0        0      mind_control
50027    Dispell                              0        0      dispell
50028    Harden armor                         0        0      harden_armor
50029    Valor                                0        0      valor
50030    Invoke                               0        0      invoke
50031    Dishearten                           0        0      dishearten
50032    Assault                              0        0      assault
50033    Stagger                              0        0      stagger
50034    Endear                               0        0      endear
50035    Freeze                               0        0      freeze
50036    Chin-Baek-Ho-Ryung                   0        0      chin_baek_ho_ryung
50037    Health shrine                        0        0      health_shrine_spell
50038    Magic shrine                         0        0      magic_shrine_spell
50039    Experience shrine                    0        0      experience_shrine_spell
50040    Frozen                               0        0      boss296freeze
50041    Favor of the Gods                    0        0      favor_of_the_gods
50042    Bot Checker                          0        0      botchecker
50043    Smoke screen                         0        0      smoke_screen
50044    Toxic spray                          0        0      toxic_spray
50045    Tripwire                             0        0      tripwire
50046    Faded                                0        0      faded
50047    Purple potion                        0        0      purple_potion
50048    Poisoned Bracelet                    0        0      poisoned_bracelet_spell
50049    hwan_spell                           0        0      hwan_spell
102      Light                                1        0      light
